Variable,Mean,Median,Variance,Range,IQR
X1_temperature_2m_C,18.692999999999998,18.35,37.25035454545455,30.0,8.350000000000001
X2_relative_humidity_2m_pct,50.77,48.0,339.39101010101007,74.0,25.75
X3_surface_pressure_hPa,1004.675,1004.4,48.77724747474751,37.200000000000045,8.900000000000091
X4_wind_speed_10m_kmh,13.663999999999996,14.149999999999999,41.92010505050505,32.900000000000006,9.5
X5_cloud_cover_pct,61.68,91.0,1853.290505050505,100.0,93.25
